time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-10-11 09:30:00-04:00,DiversifiedLeverage,5d78f5a81dd343a2861ec42838224d02,TMF,buy,market,fill,1,gtc,0.0,1,stock,50.130001068115234,22.0,5.514300117492676
2024-10-11 09:30:00-04:00,DiversifiedLeverage,09c9b94d4f524f078c317632b9197085,UGL,sell,market,fill,1,gtc,0.0,1,stock,96.80000305175781,1.0,0.48400001525878905
2024-10-11 09:30:00-04:00,DiversifiedLeverage,8c6db734e2a34475891d3c93f30e7159,DIG,buy,market,fill,1,gtc,0.0,1,stock,42.310001373291016,8.0,1.6924000549316407
2024-10-17 09:30:00-04:00,DiversifiedLeverage,8ac240caf3924fffb4c841e2849ac802,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2024-10-17 09:30:00-04:00,DiversifiedLeverage,bacd1821038e4c6ea63f305446b0d865,UPRO,sell,market,new,1,gtc,0.0,1,stock,,,
2024-10-17 09:30:00-04:00,DiversifiedLeverage,0007e1fae875476d873e0bb7a401b7e8,UDOW,sell,market,new,1,gtc,0.0,1,stock,,,
2024-10-17 09:30:00-04:00,DiversifiedLeverage,60ac92ef45c64e8f9ad39020de2c4b64,TMF,sell,market,new,1,gtc,0.0,1,stock,,,
2024-10-17 09:30:00-04:00,DiversifiedLeverage,514716692a6a4538ae957f4351e3ec43,DIG,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-17 09:30:00-04:00,DiversifiedLeverage,8ac240caf3924fffb4c841e2849ac802,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,75.58000183105469,2.0,0.7558000183105469
2024-10-17 09:30:00-04:00,DiversifiedLeverage,bacd1821038e4c6ea63f305446b0d865,UPRO,sell,market,fill,1,gtc,0.0,1,stock,91.04000091552734,6.0,2.7312000274658206
2024-10-17 09:30:00-04:00,DiversifiedLeverage,0007e1fae875476d873e0bb7a401b7e8,UDOW,sell,market,fill,1,gtc,0.0,1,stock,101.93000030517578,2.0,1.0193000030517578
2024-10-17 09:30:00-04:00,DiversifiedLeverage,60ac92ef45c64e8f9ad39020de2c4b64,TMF,sell,market,fill,1,gtc,0.0,1,stock,51.36000061035156,1.0,0.2568000030517578
2024-10-17 09:30:00-04:00,DiversifiedLeverage,514716692a6a4538ae957f4351e3ec43,DIG,buy,market,fill,1,gtc,0.0,1,stock,40.400001525878906,25.0,5.050000190734863
