Symbol,Qty,Side
AMZN,-189,short
ANF,531,long
ASTS,-189,short
BMA,-189,short
CAVA,531,long
CDE,531,long
CORZ,531,long
DOMO,-189,short
FTAI,531,long
FYBR,-189,short
GM,531,long
GS,-189,short
LUMN,531,long
MRO,-189,short
MS,-189,short
MSFT,-189,short
MSTR,531,long
NIO,-189,short
NVDA,531,long
OSCR,-189,short
SNAP,531,long
SQ,-189,short
SUN,531,long
TLN,531,long
TM,-189,short
WING,531,long
